MAJ   , Code Postal , Latitude , Longitude , Eloignement 
JUVIGNY   ,51150,49.016667,4.266667,1.84
LACHY   ,51120,48.766667,3.716667,1.32
LAGERY   ,51170,49.2,3.75,1.27
LANDRICOURT   ,51290,48.616667,4.816667,1.86
LARZICOURT   ,51290,48.633333,4.716667,1.77
LAVAL SUR TOURBE ,51600,49.133333,4.683333,1.4
LAVANNES   ,51110,49.316667,4.166667,1.89
LENHARREE   ,51230,48.766667,4.116667,2
LEUVRIGNY   ,51700,49.066667,3.766667,1.18
LHERY   ,51170,49.2,3.766667,1.27
LIGNON   ,51290,48.583333,4.533333,2.04
LINTHELLES   ,51230,48.716667,3.816667,1.37
LINTHES   ,51230,48.733333,3.85,1.24
LOISY EN BRIE ,51130,48.883333,3.9,1.31
LOISY SUR MARNE ,51300,48.766667,4.55,1.12
LOIVRE   ,51220,49.35,3.983333,2.07
LOUVOIS   ,51150,49.1,4.116667,1.33
LUCY   ,51270,48.933333,3.8,1.08
LUDES   ,51500,49.15,4.083333,1
LUXEMONT ET VILLOTTE ,51300,48.7,4.633333,1.42
MACLAUNAY   ,51210,48.85,3.55,1.79
MAFFRECOURT   ,51800,49.116667,4.816667,1.78
MAILLY CHAMPAGNE  ,51500,49.15,4.116667,1.31
MAIRY SUR MARNE ,51240,48.866667,4.416667,0.66
MAISONS EN CHAMPAGNE ,51300,48.75,4.5,1.68
MALMY   ,51800,49.175,4.808333,-1
MANCY   ,51200,48.983333,3.933333,0.71
MARCILLY SUR SEINE ,51260,48.566667,3.7,2.13
MARDEUIL   ,51200,49.05,3.933333,0.87
MAREUIL EN BRIE ,51270,48.95,3.75,1.23
MAREUIL LE PORT ,51700,49.083333,3.75,1.23
MAREUIL SUR AY ,51160,49.05,4.033333,0.89
MARFAUX   ,51170,49.166667,3.883333,1.88
MARGERIE HANCOURT  ,51290,48.55,4.516667,2.22
MARIGNY   ,51230,48.666667,3.866667,1.59
MAROLLES   ,51300,48.716667,4.633333,1.33
MARSANGIS   ,51260,48.6,3.833333,1.95
MARSON   ,51240,48.916667,4.533333,0.98
MASSIGES   ,51800,49.183333,4.75,1.59
MATIGNICOURT GONCOURT  ,51300,48.683333,4.683333,1.51
MATOUGUES   ,51510,48.983333,4.25,1.05
MAURUPT LE MONTOIS ,51340,48.75,4.85,1.87
MECRINGES   ,51210,48.866667,3.5,1.93
LE MEIX SAINT EPOING,51120,48.7,3.65,1.51
LE MEIX TIERCELIN ,51320,48.633333,4.416667,1.77
MERFY   ,51220,49.3,3.95,1.8
MERLAUT   ,51300,48.766667,4.666667,1.36
MERY PREMECY  ,51390,49.216667,3.866667,1.36
LES MESNEUX  ,51370,49.216667,3.966667,1.38
LE MESNIL SUR OGER,51190,48.95,4.016667,0.57
MOIREMONT   ,51800,49.133333,4.883333,1.97
MOIVRE   ,51240,48.916667,4.666667,2.25
MONCETZ LONGEVAS  ,51470,48.916667,4.433333,1
MONCETZ L ABBAYE ,51290,48.65,4.65,1.68
MONDEMENT MONTGIVROUX  ,51120,48.783333,3.783333,1.13
MONTBRE   ,51500,49.183333,4.033333,1.18
MONTGENOST   ,51260,48.6,3.6,1.95
MONTEPREUX   ,51320,48.716667,4.133333,1.33
MONTHELON   ,51200,48.983333,3.933333,0.71
MONTIGNY SUR VESLE ,51140,49.316667,3.8,1.89
MONTMIRAIL   ,51210,48.866667,3.533333,1.84
MONT SUR COURVILLE ,51170,49.25,3.683333,1.54
MORANGIS   ,51200,48.966667,3.916667,1.08
MORSAINS   ,51210,48.8,3.533333,1.84
MOSLINS   ,51200,48.966667,3.933333,0.95
MOURMELON LE GRAND ,51400,49.133333,4.366667,0.91
MOURMELON LE PETIT ,51400,49.133333,4.316667,0.91
MOUSSY   ,51200,49.016667,3.916667,0.76
MUIZON   ,51140,49.266667,3.883333,1.63
MUTIGNY   ,51160,49.066667,4.016667,0.55
NESLE LA REPOSTE ,51120,48.633333,3.55,2.37
NESLE LE REPONS ,51700,49.05,3.716667,1.32
LA NEUVILLE AUX BOIS,51330,48.966667,4.9,2.01
LA NEUVILLE AUX LARRIS,51480,49.15,3.833333,1.21
LA NEUVILLE AU PONT,51800,49.116667,4.866667,1.92
NEUVILLE SOUS ARZILLIERES ,51290,48.65,4.616667,1.68
NEUVY   ,51310,48.75,3.516667,1.88
NOGENT L ABBESSE ,51420,49.25,4.15,1.54
NOIRLIEU   ,51330,48.95,4.816667,1.78
NORMEE   ,51230,48.783333,4.066667,1.53
NORROIS   ,51300,48.666667,4.616667,1.59
NUISEMENT SUR COOLE ,51240,48.883333,4.3,1.98
OEUILLY   ,51480,49.066667,3.8,1.44
OGER   ,51190,48.95,4.016667,0.57
OGNES   ,51230,48.7,3.9,1.42
OIRY   ,51200,49.016667,4.05,2.3
OLIZY   ,51700,49.15,3.758333,-1
OMEY   ,51240,48.95,4.5,0.97
ORCONTE   ,51300,48.666667,4.733333,1.59
ORMES   ,51370,49.233333,3.95,1.45
OUTINES   ,51290,48.55,4.65,2.22
OUTREPONT   ,51300,48.766667,4.683333,1.4
OYES   ,51120,48.816667,3.783333,1.33
PARGNY LES REIMS ,51390,49.216667,3.916667,1.36
PARGNY SUR SAULX ,51340,48.766667,4.833333,1.82
PASSAVANT EN ARGONNE ,51800,49.016667,5,2.29
PASSY GRIGNY  ,51700,49.116667,3.683333,1.41
PEAS   ,51120,48.75,3.783333,1.15
LES PETITES LOGES ,51400,49.133333,4.225,-1
PEVY   ,51140,49.316667,3.833333,1.89
PIERRE MORAINS  ,51130,48.833333,4.016667,0.7
PIERRY   ,51200,49.016667,3.933333,0.71
PLEURS   ,51230,48.683333,3.866667,1.51
PLICHANCOURT   ,51300,48.75,4.666667,1.36
PLIVOT   ,51150,49.016667,4.066667,1.67
POCANCY   ,51130,48.95,4.15,1.57
POGNY   ,51240,48.866667,4.483333,0.84
POILLY   ,51170,49.216667,3.816667,1.36
POIX   ,51460,48.966667,4.633333,1.26
POMACLE   ,51110,49.333333,4.15,1.98
PONTHION   ,51300,48.766667,4.716667,1.5
POSSESSE   ,51330,48.883333,4.8,1.73
POTANGIS   ,51260,48.583333,3.65,2.04
POUILLON   ,51220,49.316667,3.95,1.89
POURCY   ,51480,49.15,3.916667,1.38
PRINGY   ,51300,48.783333,4.516667,1.59
PROSNES   ,51400,49.183333,4.283333,1.21
PROUILLY   ,51140,49.3,3.85,1.8
PRUNAY   ,51360,49.183333,4.183333,1.18
PUISIEULX   ,51500,49.183333,4.116667,1.24
QUEUDES   ,51120,48.65,3.766667,1.68
RAPSECOURT   ,51330,49.016667,4.8,1.73
RECY   ,51520,48.983333,4.316667,0.71
REIMS   ,51100,49.25,4.033333,1.54
REIMS LA BRULEE ,51300,48.716667,4.666667,1.36
REMICOURT   ,51330,48.95,4.883333,1.97
REUVES   ,51120,48.8,3.8,1.29
REVEILLON   ,51310,48.75,3.45,2.07
RIEUX   ,51210,48.85,3.5,1.93
RILLY LA MONTAGNE ,51500,49.166667,4.05,1.09
LES RIVIERES HENRUEL ,51300,48.65,4.566667,1.68
ROMAIN   ,51140,49.333333,3.766667,1.98
ROMERY   ,51480,49.1,3.916667,0.94
ROMIGNY   ,51170,49.166667,3.766667,1.18
ROSNAY   ,51390,49.25,3.866667,1.54
ROUFFY   ,51130,48.933333,4.1,1
ROUVROY RIPONT  ,51800,49.216667,4.733333,1.54
SACY   ,51500,49.2,3.95,1.65
SAINT AMAND SUR FION,51300,48.816667,4.6,1.17
SAINT BON  ,51310,48.666667,3.466667,2.02
SAINT CHERON  ,51290,48.633333,4.566667,1.77
SAINT ETIENNE AU TEMPLE,51460,49.016667,4.416667,1.75
SAINT ETIENNE SUR SUIPPE,51110,49.383333,4.1,2.25
SAINT EULIEN  ,52100,48.683333,4.883333,1.97
SAINTE GEMME  ,51700,49.15,3.666667,1.46
SAINT GERMAIN LA VILLE,51240,48.883333,4.45,0.75
SAINT GIBRIEN  ,51510,48.966667,4.3,0.59
SAINT GILLES  ,51170,49.283333,3.683333,1.72
SAINT HILAIRE AU TEMPLE,51400,49.05,4.383333,1.06
SAINT HILAIRE LE GRAND,51600,49.166667,4.466667,1.09
SAINT HILAIRE LE PETIT,51490,49.266667,4.383333,1.63
SAINT IMOGES  ,51160,49.1,3.966667,1.25
SAINT JEAN DEVANT POSSESSE,51330,48.883333,4.8,1.73
SAINT JEAN SUR MOIVRE,51240,48.9,4.583333,1.29
SAINT JEAN SUR TOURBE,51600,49.133333,4.683333,1.4
SAINT JUST SAUVAGE ,51260,48.55,3.783333,2.22
SAINT LEONARD  ,51500,49.216667,4.1,1.36
SAINT LOUP  ,51120,48.733333,3.816667,-1
SAINT LUMIER EN CHAMPAGNE,51300,48.8,4.633333,1.26
SAINT LUMIER LA POPULEUSE,51340,48.733333,4.8,1.73
SAINT MARD SUR AUVE,51800,49.033333,4.733333,1.54
SAINT MARD LES ROUFFY,51130,48.95,4.116667,1.25
SAINT MARD SUR LE,51330,48.916667,4.85,1.87
SAINTE MARIE A PY,51600,49.233333,4.5,1.45
SAINT MARTIN AUX CHAMPS,51240,48.816667,4.483333,0.84
SAINT MARTIN L HEUREUX,51490,49.25,4.4,1.54
SAINT MARTIN SUR LE,51520,48.983333,4.333333,0.48
SAINT MASMES  ,51490,49.316667,4.266667,1.89
SAINT MEMMIE  ,51470,48.95,4.383333,1
SAINTE MENEHOULD  ,51800,49.083333,4.9,2.01
SAINT PIERRE  ,51510,48.95,4.25,0.68
SAINT QUENTIN LES MARAIS,51300,48.783333,4.65,1.31
SAINT QUENTIN LE VERGER,51120,48.616667,3.75,1.86
SAINT QUENTIN SUR COOLE,51240,48.85,4.333333,1.61
SAINT REMY SOUS BROYES,51120,48.7,3.783333,1.42
SAINT REMY SUR BUSSY,51600,49.05,4.583333,1.12
SAINT SATURNIN  ,51260,48.616667,3.9,1.86
SAINT SOUPLET SUR PY,51600,49.233333,4.466667,1.45
SAINT THIERRY  ,51220,49.3,3.966667,1.8
SAINT THOMAS EN ARGONNE,51800,49.183333,4.866667,1.92
SAINT UTIN  ,51290,48.55,4.5,2.22
SAINT VRAIN  ,51340,48.7,4.8,1.73
SAPIGNICOURT   ,52100,48.65,4.816667,1.81
SARCY   ,51170,49.2,3.816667,1.27
SARON SUR AUBE ,51260,48.566667,3.733333,2.13
SARRY   ,51520,48.916667,4.4,1.12
SAUDOY   ,51120,48.683333,3.716667,1.51
SAVIGNY SUR ARDRES ,51170,49.233333,3.783333,1.45
SCRUPT   ,51340,48.716667,4.783333,1.68
SELLES   ,51490,49.3,4.283333,1.8
SEPT SAULX  ,51400,49.15,4.25,1.21
SERMAIZE LES BAINS ,51250,48.783333,4.916667,2.06
SERMIERS   ,51500,49.15,3.983333,1.12
SERVON MELZICOURT  ,51800,49.216667,4.85,1.87
SERZY ET PRIN ,51170,49.25,3.766667,1.54
SEZANNE   ,51120,48.716667,3.716667,1.33
SILLERY   ,51500,49.2,4.133333,1.57
SOGNY AUX MOULINS ,51520,48.9,4.4,1.34
SOGNY EN L ANGLE,51340,48.816667,4.8,1.73
SOILLY   ,51700,49.066667,3.616667,1.62
SOIZY AUX BOIS ,51120,48.816667,3.733333,1.27
SOMME BIONNE  ,51800,49.1,4.733333,1.54
SOMMEPY TAHURE  ,51600,49.25,4.55,1.54
SOMMESOUS   ,51320,48.733333,4.2,1.24
SOMME SUIPPE  ,51600,49.116667,4.583333,1.12
SOMME TOURBE  ,51600,49.1,4.666667,1.36
SOMME VESLE  ,51460,48.983333,4.583333,1.12
SOMME YEVRE  ,51330,48.95,4.766667,1.64
SOMPUIS   ,51320,48.683333,4.383333,1.51
SOMSOIS   ,51290,48.6,4.5,1.95
SONGY   ,51240,48.8,4.5,0.89
SOUAIN PERTHES LES HURLUS,51600,49.183333,4.533333,1.18
SOUDRON   ,51320,48.85,4.2,1.26
SOULANGES   ,51300,48.783333,4.533333,1.4
SOULIERES   ,51130,48.9,3.933333,0.95
SUIPPES   ,51600,49.133333,4.533333,0.98
SUIZY LE FRANC ,51270,48.95,3.733333,1.27
TAISSY   ,51500,49.216667,4.1,1.36
TALUS SAINT PRIX ,51270,48.833333,3.75,1.23
TAUXIERES MUTRY  ,51150,49.083333,4.1,1.33
THAAS   ,51230,48.65,3.883333,1.68
THIBIE   ,51510,48.933333,4.216667,1.35
THIEBLEMONT FAREMONT  ,51300,48.683333,4.733333,1.54
THIL   ,51220,49.316667,3.966667,1.89
THILLOIS   ,51370,49.25,3.95,1.54
LE THOULT TROSNAY ,51210,48.85,3.683333,1.41
TILLOY ET BELLAY ,51460,49,4.616667,1.21
TINQUEUX   ,51430,49.25,3.983333,1.54
TOGNY AUX BOEUFS ,51240,48.85,4.45,0.75
TOULON LA MONTAGNE ,51130,48.85,3.883333,1.55
TOURS SUR MARNE ,51150,49.05,4.116667,0.81
TRAMERY   ,51170,49.216667,3.8,1.36
TRECON   ,51130,48.866667,4.083333,0.73
TREFOLS   ,51210,48.783333,3.5,1.93
TREPAIL   ,51380,49.1,4.183333,0.73
TRESLON   ,51140,49.233333,3.816667,1.45
TRIGNY   ,51140,49.3,3.9,1.8
TROIS PUITS  ,51500,49.2,4.033333,1.27
TROISSY   ,51700,49.083333,3.716667,1.32
UNCHAIR   ,51170,49.283333,3.75,1.72
VADENAY   ,51400,49.066667,4.4,1.11
VALMY   ,51800,49.083333,4.766667,1.64
VANAULT LE CHATEL ,51330,48.866667,4.733333,1.7
VANAULT LES DAMES ,51340,48.85,4.766667,1.99
VANDEUIL   ,51140,49.283333,3.783333,1.72
VASSIMONT ET CHAPELAINE ,51320,48.766667,4.15,1.23
VATRY   ,51320,48.816667,4.25,0.82
VAUCHAMPS   ,51210,48.883333,3.616667,1.6
VAUCIENNES   ,51480,49.05,3.883333,0.97
VAUCLERC   ,51300,48.716667,4.65,1.33
VAUDEMANGES   ,51380,49.083333,4.216667,1.38
VAUDESINCOURT   ,51600,49.216667,4.4,1.71
VAVRAY LE GRAND ,51300,48.8,4.716667,1.5
VAVRAY LE PETIT ,51300,48.8,4.716667,1.5
VELYE   ,51130,48.883333,4.116667,1.06
VENTELAY   ,51140,49.333333,3.8,1.98
VENTEUIL   ,51480,49.083333,3.833333,0.99
VERDON   ,51210,48.95,3.616667,1.6
VERNANCOURT   ,51330,48.866667,4.833333,1.82
VERNEUIL   ,51700,49.1,3.666667,1.46
VERTUS   ,51130,48.9,4,0.52
VERZENAY   ,51360,49.166667,4.15,1.35
VERZY   ,51380,49.15,4.166667,1.38
VESIGNEUL SUR MARNE ,51240,48.866667,4.45,0.75
LA VEUVE  ,51520,49.033333,4.316667,1.35
LE VEZIER  ,51210,48.8,3.466667,2.02
LE VIEIL DAMPIERRE ,51330,48.983333,4.883333,1.97
VIENNE LA VILLE ,51800,49.166667,4.85,1.87
VIENNE LE CHATEAU ,51800,49.183333,4.883333,1.97
VILLE DOMMANGE  ,51390,49.2,3.933333,1.27
VILLE EN SELVE ,51500,49.116667,4.083333,1.2
VILLE EN TARDENOIS ,51170,49.183333,3.8,1.18
VILLENEUVE LA LIONNE ,51310,48.766667,3.45,2.07
VILLERS ALLERAND  ,51500,49.166667,4.016667,1.09
VILLERS AUX BOIS ,51130,48.933333,3.933333,1.06
VILLERS AUX NOEUDS ,51500,49.183333,3.983333,1.18
VILLERS EN ARGONNE ,51800,49.016667,4.933333,2.11
VILLERS FRANQUEUX  ,51220,49.333333,3.933333,1.98
VILLERS LE CHATEAU ,51510,48.95,4.266667,0.37
VILLERS LE SEC ,51250,48.816667,4.85,1.87
VILLERS MARMERY  ,51380,49.133333,4.2,0.91
VILLERS SOUS CHATILLON ,51700,49.1,3.8,1.25
VILLESENEUX   ,51130,48.833333,4.15,1.54
LA VILLE SOUS ORBAIS,51270,48.966667,3.683333,1.96
VILLE SUR TOURBE ,51800,49.183333,4.783333,1.68
VILLEVENARD   ,51270,48.833333,3.8,1.08
VILLIERS AUX CORNEILLES ,51260,48.583333,3.683333,2.04
VINAY   ,51200,49.016667,3.9,0.92
VINCELLES   ,51700,49.1,3.65,1.51
VINDEY   ,51120,48.7,3.716667,1.42
VIRGINY   ,51800,49.166667,4.766667,1.64
VITRY EN PERTHOIS ,51300,48.75,4.616667,1.21
VITRY LA VILLE ,51240,48.833333,4.466667,0.79
VITRY LE FRANCOIS ,51300,48.733333,4.583333,1.24
VOILEMONT   ,51800,49.05,4.8,1.73
VOIPREUX   ,51130,48.9,4.033333,0.43
VOUARCES   ,51260,48.583333,3.9,2.04
VOUCIENNES   ,51240,48.85,4.45,0.75
VOUILLERS   ,51340,48.683333,4.833333,1.82
VOUZY   ,51130,48.916667,4.1,0.93
VRAUX   ,51150,49.016667,4.233333,1.28
VRIGNY   ,51390,49.233333,3.916667,1.45
VROIL   ,51330,48.85,4.916667,2.06
WARGEMOULIN HURLUS  ,51800,49.15,4.7,1.45
WARMERIVILLE   ,51110,49.35,4.216667,2.07
WITRY LES REIMS ,51420,49.3,4.116667,1.8
MAGENTA   ,51200,49.05,3.966667,0.99
PORT A BINSON ,51700,49.083333,3.766667,1.18
AGEVILLE   ,52340,48.116667,5.35,0.67
AIGREMONT   ,52400,48.016667,5.716667,2.1
AILLIANVILLE   ,52700,48.35,5.483333,1.47
AINGOULAINCOURT   ,52230,48.45,5.283333,1.53
AIZANVILLE   ,52120,48.1,4.9,1.59
ALLICHAMPS   ,52130,48.566667,4.883333,2.04
AMBONVILLE   ,52110,48.316667,5.016667,1.39
ANDILLY EN BASSIGNY ,52360,47.916667,5.516667,1.2
ANGLUS   ,52220,48.4,4.733333,2.35
ANNEVILLE LA PRAIRIE ,52310,48.2,5.083333,0.81
ANNONVILLE   ,52230,48.383333,5.266667,1.29
ANROSEY   ,52500,47.833333,5.666667,1.88
APREY   ,52250,47.766667,5.233333,1.49
ARBIGNY SOUS VARENNES ,52500,47.866667,5.616667,1.65
ARBOT   ,52160,47.85,5.016667,1.33
ARC EN BARROIS ,52210,47.95,5,1.14
ARGENTOLLES   ,52330,48.25,4.883333,1.67
ARNANCOURT   ,52110,48.35,4.916667,1.52
ARNONCOURT SUR APANCE ,52400,48,5.7,2.03
ATTANCOURT   ,52130,48.533333,4.933333,1.89
AUBEPIERRE SUR AUBE ,52210,47.916667,4.916667,1.52
AUBERIVE   ,52160,47.783333,5.05,1.41
AUDELONCOURT   ,52240,48.116667,5.516667,1.2
AUGEVILLE   ,52270,48.366667,5.316667,1.26
AUJEURRES   ,52190,47.733333,5.183333,1.63
AULNOY SUR AUBE ,52160,47.833333,5.033333,1.19
AUTIGNY LE GRAND ,52300,48.466667,5.133333,1.6
AUTIGNY LE PETIT ,52300,48.483333,5.133333,1.67
AUTREVILLE SUR LA RENNE,52120,48.116667,4.966667,1.29
AVRAINVILLE   ,52130,48.533333,5.05,1.89
AVRECOURT   ,52140,47.966667,5.533333,1.27
BAILLY AUX FORGES ,52130,48.466667,4.916667,1.6
BAISSEY   ,52250,47.75,5.25,1.56
BALESMES SUR MARNE ,52200,47.816667,5.383333,1.27
BANNES   ,52360,47.9,5.4,1.13
BASSONCOURT   ,52240,48.066667,5.566667,1.42
BAUDRECOURT   ,52110,48.4,4.95,1.37
BAY SUR AUBE ,52160,47.816667,5.066667,1.27
BEAUCHARMOY   ,52400,47.983333,5.666667,1.88
BEAUCHEMIN   ,52260,47.9,5.25,0.9
BELMONT   ,52500,47.716667,5.55,1.71
BETTANCOURT LA FERREE ,52100,48.65,4.966667,2.41
BETTONCOURT LE HAUT ,52230,48.383333,5.3,1.23
BEURVILLE   ,52110,48.316667,4.833333,1.9
BIENVILLE   ,52410,48.566667,5.05,2.04
BIERNES   ,52330,48.266667,4.916667,1.52
BIESLES   ,52340,48.083333,5.3,0.9
BIZE   ,52500,47.833333,5.633333,1.73
BLAISE   ,52330,48.283333,4.966667,1.29
BLAISY   ,52330,48.183333,5,1.14
BLANCHEVILLE   ,52700,48.216667,5.266667,1.03
BLECOURT   ,52300,48.383333,5.083333,1.24
BLESSONVILLE   ,52120,48.066667,5,1.3
BLUMERAY   ,52110,48.366667,4.85,1.82
BOLOGNE   ,52310,48.2,5.133333,1.01
BONNECOURT   ,52360,47.95,5.466667,0.97
BOURBONNE LES BAINS ,52400,47.95,5.75,2.25
BOURDONS SUR ROGNON ,52700,48.166667,5.35,0.86
BOURG   ,52200,47.8,5.316667,1.34
BOURG SAINTE MARIE ,52150,48.183333,5.55,1.35
BOURMONT   ,52150,48.2,5.583333,1.5
BOUZANCOURT   ,52110,48.316667,4.95,1.37
BRACHAY   ,52110,48.383333,5.033333,1.4
BRAINVILLE SUR MEUSE ,52150,48.183333,5.583333,1.5
BRAUCOURT   ,52290,48.533333,4.816667,1.97
BRAUX LE CHATEL ,52120,48.1,4.95,1.37
BRENNES   ,52200,47.8,5.283333,1.34
BRESSONCOURT   ,52230,48.433333,5.35,1.45
BRETHENAY   ,52000,48.15,5.133333,0.64
BREUIL SUR MARNE ,52170,48.5,5.116667,1.79
BRIAUCOURT   ,52700,48.216667,5.183333,1.81
BRICON   ,52120,48.083333,4.966667,1.29
BRONCOURT   ,52500,47.766667,5.666667,1.88
BROTTES   ,52000,48.083333,5.133333,0.54
BROUSSEVAL   ,52130,48.483333,4.966667,1.67
BROUTHIERES   ,52230,48.4,5.333333,1.31
BUCHEY   ,52330,48.266667,4.883333,1.67
BUGNIERES   ,52210,47.95,5.1,0.69
BUSSON   ,52700,48.333333,5.366667,1.01
BUXIERES LES CLEFMONT ,52240,48.1,5.466667,0.97
BUXIERES LES FRONCLES ,52320,48.3,5.15,1.04
BUXIERES LES VILLIERS ,52000,48.1,5.033333,1.41
CEFFONDS   ,52220,48.466667,4.766667,2.2
CELLES EN BASSIGNY ,52360,47.916667,5.55,1.79
CELSOY   ,52600,47.866667,5.483333,1.17
CHALANCEY   ,52160,47.683333,5.15,1.85
CHALINDREY   ,52600,47.8,5.433333,1.34
CHALVRAINES   ,52700,48.233333,5.483333,1.15
CHAMARANDES   ,52000,48.083333,5.15,0.53
CHAMBRONCOURT   ,52700,48.35,5.4,1.09
CHAMEROY   ,52210,47.833333,5.116667,1.19
CHAMOUILLEY   ,52410,48.6,5.05,2.19
CHAMPCOURT   ,52330,48.283333,4.95,1.37
CHAMPIGNY LES LANGRES ,52200,47.9,5.35,0.91
CHAMPIGNY SOUS VARENNES ,52400,47.866667,5.65,1.8
CHANCENAY   ,52100,48.666667,4.983333,2.48
CHANGEY   ,52360,47.933333,5.383333,1.52
CHANOY   ,52260,47.916667,5.283333,0.82
CHANTRAINES   ,52700,48.216667,5.25,1.18
CHARMES EN L ANGLE,52110,48.366667,5,1.16
CHARMES LA GRANDE ,52110,48.383333,4.983333,1.23
CHARMOILLES   ,52260,47.95,5.366667,1.73
CHASSIGNY   ,52190,47.716667,5.383333,1.71
CHATEAUVILLAIN   ,52120,48.033333,4.916667,1.52
CHATENAY MACHERON  ,52200,47.85,5.4,1.33
CHATENAY VAUDIN  ,52360,47.85,5.45,1.13
CHATOILLENOT   ,52190,47.683333,5.25,1.85
CHAUDENAY   ,52600,47.833333,5.5,1.19
CHAUFFOURT   ,52140,47.966667,5.433333,1.51
CHAUMONT   ,52000,48.116667,5.133333,0.54
CHAUMONT LA VILLE ,52150,48.15,5.65,1.8
CHEVILLON   ,52170,48.533333,5.133333,1.89
CHEZEAUX   ,52400,47.883333,5.65,1.8
CHOISEUL   ,52240,48.066667,5.566667,1.42
CIREY LES MAREILLES ,52700,48.2,5.283333,0.96
CIREY SUR BLAISE ,52110,48.333333,4.933333,1.44
CIRFONTAINES EN AZOIS ,52370,48.116667,4.866667,1.75
CIRFONTAINES EN ORNOIS ,52230,48.45,5.383333,1.53
CLEFMONT   ,52240,48.1,5.516667,1.2
CLINCHAMP   ,52700,48.2,5.45,0.97
COHONS   ,52600,47.783333,5.35,1.56
COIFFY LE BAS ,52400,47.916667,5.683333,1.95
COIFFY LE HAUT ,52400,47.9,5.7,2.03
COLMIER LE BAS ,52160,47.766667,4.95,1.49
COLMIER LE HAUT ,52160,47.783333,4.966667,1.41
COLOMBEY LES CHOISEUL ,52240,48.066667,5.633333,2.16
COLOMBEY LES DEUX EGLISES,52330,48.216667,4.883333,1.67
CONDES   ,52000,48.15,5.15,0.73
CONSIGNY   ,52700,48.166667,5.416667,0.98
CORGIRNON   ,52500,47.8,5.5,1.34
CORLEE   ,52200,47.833333,5.366667,1.19
COUBLANC   ,52500,47.7,5.466667,1.78
COUPRAY   ,52210,47.966667,4.933333,1.44
COURCELLES EN MONTAGNE ,52200,47.833333,5.216667,1.19
COURCELLES SUR AUJON ,52210,47.9,5.1,0.9
COURCELLES SUR BLAISE ,52110,48.416667,4.933333,1.44
COURCELLES VAL D ESNOMS,52190,47.7,5.233333,1.78
COUR L EVEQUE ,52210,47.966667,4.983333,1.22
CREANCEY   ,52120,48.016667,4.883333,1.67
CRENAY   ,52000,48.016667,5.166667,1.52
CULMONT   ,52600,47.816667,5.433333,1.27
CUREL   ,52300,48.5,5.133333,1.75
CURMONT   ,52330,48.266667,4.95,1.37
CUSEY   ,52190,47.633333,5.35,2.07
CUVES   ,52240,48.1,5.433333,1.27
DAILLANCOURT   ,52110,48.3,4.95,1.37
DAILLECOURT   ,52240,48.083333,5.5,1.12
DAMMARTIN SUR MEUSE ,52140,47.983333,5.566667,1.42
DAMPIERRE   ,52360,47.95,5.4,1.39
DAMREMONT   ,52400,47.95,5.65,1.8
DANCEVOIR   ,52210,47.916667,4.866667,2.02
DARDENAY   ,52190,47.65,5.35,2
DARMANNES   ,52700,48.166667,5.216667,1.68
DINTEVILLE   ,52120,48.033333,4.8,2.05
DOMMARIEN   ,52190,47.683333,5.35,1.85
DOMMARTIN LE FRANC ,52110,48.433333,4.966667,1.45
DOMMARTIN LE SAINT PERE,52110,48.4,4.916667,1.52
DONCOURT SUR MEUSE ,52150,48.15,5.566667,1.42
DONJEUX   ,52300,48.366667,5.15,1.16
DONNEMARIE   ,52800,48.066667,5.4,1.22
DOULEVANT LE CHATEAU ,52110,48.383333,4.916667,1.52
DOULEVANT LE PETIT ,52130,48.45,4.95,1.53
DROYES   ,52220,48.516667,4.7,2.5
ECHENAY   ,52230,48.466667,5.316667,1.6
ECOT LA COMBE ,52700,48.216667,5.383333,0.59
EFFINCOURT   ,52300,48.5,5.266667,2.02
ENFONVELLE   ,52400,47.933333,5.866667,2.78
EPINANT   ,52140,48,5.45,1.18
EPIZON   ,52230,48.383333,5.35,1.23
ERISEUL   ,52210,47.883333,5.083333,0.97
ESNOUVEAUX   ,52340,48.133333,5.366667,1.12
ESSEY LES EAUX ,52800,48.05,5.416667,1.38
ESSEY LES PONTS ,52120,48.066667,4.883333,1.67
EUFFIGNEIX   ,52000,48.133333,5.033333,1.46
FARINCOURT   ,52500,47.7,5.683333,1.95
FAVEROLLES   ,52260,47.95,5.216667,1.26
FAYS   ,52130,48.466667,5.033333,1.6
FERRIERE ET LAFOLIE ,52300,48.4,5.083333,1.31
FLAGEY   ,52250,47.783333,5.25,1.41
FLAMMERECOURT   ,52110,48.366667,5.05,1.63
FLORNOY   ,52130,48.516667,5,1.82
FONTAINES SUR MARNE ,52170,48.55,5.1,1.97
FORCEY   ,52700,48.15,5.35,1.02
FOULAIN   ,52800,48.033333,5.216667,1.58
FRAMPAS   ,52220,48.516667,4.833333,1.9
FRECOURT   ,52360,47.95,5.45,0.9
FRESNES SUR APANCE ,52400,47.933333,5.833333,2.63
FRESNOY EN BASSIGNY ,52400,48.033333,5.666667,1.88
FRONCLES   ,52320,48.3,5.15,1.04
FRONVILLE   ,52300,48.4,5.15,1.31
GENEVRIERES   ,52500,47.716667,5.6,1.71
LA GENEVROYE  ,52320,48.283333,5.05,1.06
GENRUPT   ,52400,47.916667,5.75,2.25
GERMAINES   ,52160,47.8,5.033333,1.34
