MAJ   , Code Postal , Latitude , Longitude , Eloignement 
POLLIAT   ,01310,46.25,5.133333,1.01
POLLIEU   ,01350,45.8,5.75,1.71
PONCIN   ,01450,46.083333,5.4,1.51
PONT D AIN ,01160,46.05,5.333333,0.52
PONT DE VAUX ,01190,46.433333,4.933333,2.11
PONT DE VEYLE ,01290,46.266667,4.883333,1.57
PORT   ,01460,46.166667,5.566667,0.76
POUGNY   ,01550,46.133333,5.95,2.06
POUILLAT   ,01250,46.333333,5.433333,2.18
PREMEYZEL   ,01300,45.683333,5.65,2.41
PREMILLIEU   ,01110,45.866667,5.566667,1.43
PRESSIAT   ,01370,46.333333,5.383333,1.51
PREVESSIN MOENS  ,01280,46.25,6.083333,2.52
PRIAY   ,01160,46,5.283333,1.73
PUGIEU   ,01510,45.816667,5.65,1.61
RAMASSE   ,01250,46.2,5.35,0.7
RANCE   ,01390,45.966667,4.866667,1.63
RELEVANT   ,01990,46.083333,4.95,1.34
REPLONGES   ,01620,46.3,4.883333,1.57
REVONNAS   ,01250,46.166667,5.333333,0.93
REYRIEUX   ,01600,45.933333,4.816667,1.8
REYSSOUZE   ,01190,46.433333,4.916667,2.11
RIGNAT   ,01250,46.15,5.366667,0.78
RIGNIEUX LE FRANC ,01800,45.933333,5.183333,0.9
ROMANECHE   ,01250,46.183333,5.433333,0.76
ROMANS   ,01400,46.116667,5.033333,1.06
ROSSILLON   ,01510,45.833333,5.6,1.51
RUFFIEU   ,01260,46,5.666667,1.11
SAINT ALBAN  ,01450,46.1,5.45,0.48
SAINT ANDRE DE BAGE,01380,46.3,4.916667,1.46
SAINT ANDRE DE CORCY,01390,45.916667,4.95,1.34
SAINT ANDRE D HUIRIAT,01290,46.216667,4.916667,1.46
SAINT ANDRE LE BOUCHOUX,01240,46.116667,5.083333,0.89
SAINT ANDRE SUR VIEUX,01240,46.15,5.066667,1.04
SAINT BENIGNE  ,01190,46.433333,4.966667,2.11
SAINT BENOIT  ,01300,45.7,5.583333,2.31
SAINT BOIS  ,01300,45.7,5.633333,2.31
SAINT CHAMP CHATONOD ,01300,45.783333,5.733333,1.81
SAINT CYR SUR MENTHON,01380,46.266667,4.983333,1.23
SAINT DENIS LES BOURG,01000,46.2,5.2,1
SAINT DENIS EN BUGEY,01500,45.95,5.333333,0.8
